"";"C1A17";"C1F18";"C1A18";"C2A17";"C2F18";"C2A18";"C3A17";"C3F18";"C3A18";"C4A17";"C4F18";"C4A18";"F1A17";"F1F18";"F1A18";"F2A17";"F2F18";"F2A18";"F3A17";"F3F18";"F3A18";"F4A17";"F4F18";"F4A18";"H1A17";"H1F18";"H1A18";"H2A17";"H2F18";"H2A18";"H3A17";"H3F18";"H3A18";"H4A17";"H4F18";"H4A18";"P1F18";"P1A18";"P2F18";"P3F18";"P4F18"
"C1A17";0;0,778082930644251;0,931571461829045;0,549841119542434;0,776994960063482;0,929143704167297;0,798628939953747;0,676839483416835;0,84313360062817;0,735416928307854;0,668773155544285;0,87905382247464;0,717095188992954;0,820311538127528;0,931234847166105;0,752571538334043;0,891622076865303;0,911902905345643;0,736831092336323;0,863860030065782;0,937636999730102;0,757222151155887;0,857891174868491;0,894183987785632;0,753578610581943;0,86731330114509;0,926357228071954;0,773014925439949;0,876636331043305;0,921111655715258;0,820451888385644;0,862988153122661;0,922172386795278;0,825560656098072;0,845004993219828;0,913302933108385;0,88961309505353;0,867374298642213;0,880902700823008;0,867550048665704;0,859329675329274
"C1F18";0,778082930644251;0;0,404920201472138;0,842137588107415;0,323998787818805;0,437465061159699;0,778413319103207;0,599769809587731;0,468814968982554;0,808323760971077;0,490670079983571;0,485436522168701;0,514491621218445;0,441478568019749;0,379469083364866;0,397420729366013;0,289841222669925;0,345171405478609;0,427437858709003;0,262200396611157;0,441617698405693;0,535107307874745;0,298086126049208;0,343303852365203;0,403438986367134;0,383984272188261;0,431439165921498;0,415191238468575;0,365411650855761;0,413060816292357;0,389224852322204;0,35142329026556;0,404736544563265;0,381146053520922;0,371459813684367;0,389914970459502;0,321431017495645;0,501137488803544;0,312502108815384;0,355295459588804;0,326140372710742
"C1A18";0,931571461829045;0,404920201472138;0;0,916454488338888;0,577359503444999;0,184953272575828;0,931118664068647;0,828135386921495;0,27136809209218;0,917117613258812;0,748477416506628;0,256950756521105;0,541139210441983;0,650503431927317;0,304077297709855;0,468900336325204;0,439350491017349;0,245526314904833;0,548272268905716;0,384521692897432;0,401918081810399;0,684741403406624;0,430794848365324;0,26889523335091;0,458587376588149;0,449774602750837;0,28770452406998;0,456468619155824;0,42701942102712;0,266443888542957;0,413959293970468;0,428725593332899;0,279926890689049;0,388081638498417;0,450275996832468;0,18218351788097;0,334342362745342;0,526932376576214;0,32849892556794;0,348699936411224;0,338700775726105
"C2A17";0,549841119542434;0,842137588107415;0,916454488338888;0;0,769748276896516;0,888057965466303;0,685487923765686;0,718595788000596;0,901915784306711;0,796176403386844;0,717335903837792;0,883669043039366;0,833994517868554;0,824129921752303;0,871720815588944;0,801946833197411;0,89841467975601;0,925019231726017;0,76116623129593;0,875755664667667;0,848157073517911;0,716953651347653;0,879496140153463;0,897031232652958;0,849104027936412;0,932190271274187;0,926218932586565;0,85978602531437;0,922361734288206;0,933388134847963;0,903246786300468;0,926603812488192;0,941639083689418;0,861675698240255;0,922806087850718;0,918005049476803;0,899762902768752;0,833375838561603;0,903743457223619;0,902276106524924;0,902592980929138
"C2F18";0,776994960063482;0,323998787818805;0,577359503444999;0,769748276896516;0;0,591282039715421;0,689231114930288;0,471888939056762;0,52011664772641;0,761353937425709;0,364887134885386;0,570002966174843;0,523685208897027;0,327197604367316;0,532273069773754;0,435022333327922;0,353713839842094;0,545523689722628;0,449648321021484;0,398849899776786;0,554966176078499;0,542267789390088;0,435803721418898;0,507892901501065;0,545628971418784;0,589792010034648;0,592750796611136;0,57000545736087;0,5622082053887;0,580137719924149;0,545603360891293;0,560583858180942;0,567932572942843;0,533788022908626;0,574968055104514;0,564709200806987;0,53456908359447;0,537304549980262;0,514811744463909;0,5454767812285;0,53360849392192
"C2A18";0,929143704167297;0,437465061159699;0,184953272575828;0,888057965466303;0,591282039715421;0;0,908332410447477;0,841137036983907;0,322488790127747;0,902481398811835;0,759111583175435;0,323209912969324;0,579606734706126;0,633310106021865;0,265404124928149;0,498260383872573;0,460241366403729;0,318327425857188;0,562835100290267;0,413358949102438;0,33853388297931;0,664066520575301;0,468476046020254;0,322118902853619;0,49562232521878;0,491631050169499;0,333762575521416;0,511270728134226;0,461654788974679;0,311784750545878;0,470185577858991;0,486079796895934;0,320656154687217;0,426707598255133;0,501847677198059;0,235860774824292;0,355587631263662;0,510030292567112;0,37973274996168;0,405327797788114;0,383214436980434
"C3A17";0,798628939953747;0,778413319103207;0,931118664068647;0,685487923765686;0,689231114930288;0,908332410447477;0;0,437289071759287;0,89276918020896;0,592527249582342;0,517251090280695;0,903848080917523;0,924171033778352;0,643649919554463;0,810923326701301;0,779355015979921;0,776428068601712;0,85908118830601;0,757194790127984;0,822728471632648;0,79078500701325;0,755507103699108;0,874669745059181;0,836641644325709;0,844998571169086;0,931062627382714;0,938452603556525;0,904306078402802;0,931236333316362;0,934381152407131;0,903580432595743;0,904535457895413;0,922225257414965;0,876780369143656;0,895833937365;0,900710667456848;0,88690386156132;0,71973019697754;0,860611928975204;0,879169479059561;0,873159279111231
"C3F18";0,676839483416835;0,599769809587731;0,828135386921495;0,718595788000596;0,471888939056762;0,841137036983907;0,437289071759287;0;0,749139009546738;0,726517752904837;0,246688787496051;0,784502578815807;0,699558930914621;0,615269520082165;0,794931729992541;0,673373564940937;0,639105689620422;0,814023477714774;0,695390681231027;0,667305575349184;0,784248953437234;0,736282907883303;0,67106177232859;0,772373066278796;0,698684324852177;0,796854179383755;0,849491839473631;0,733125994480914;0,803855129982851;0,841408001907838;0,75315681992289;0,780556288282334;0,837775267538272;0,761004373056612;0,793598481971839;0,832162682886276;0,814188205763258;0,710354197086957;0,781007458133952;0,801636531973062;0,798608447359084
"C3A18";0,84313360062817;0,468814968982554;0,27136809209218;0,901915784306711;0,52011664772641;0,322488790127747;0,89276918020896;0,749139009546738;0;0,911602323795479;0,687252494524026;0,135587432298642;0,487333455190117;0,618503432500149;0,393966018905029;0,454184300599845;0,48750472233785;0,362698227132043;0,546383586006112;0,406982252845221;0,457323321741056;0,666768045319246;0,477335289650762;0,339063102609591;0,53657656691902;0,56100631779346;0,418335277703652;0,561069006291332;0,532584144565521;0,38925803787587;0,508134395827046;0,530783841121615;0,396986474819657;0,47934912124627;0,540444352505412;0,285090539195938;0,401936650727259;0,487810470823565;0,387199493591931;0,429849696863665;0,413430681097469
"C4A17";0,735416928307854;0,808323760971077;0,917117613258812;0,796176403386844;0,761353937425709;0,902481398811835;0,592527249582342;0,726517752904837;0,911602323795479;0;0,729756918357176;0,912655233496408;0,879541491201486;0,760169368702268;0,867715149298746;0,811820149967423;0,819733945287787;0,897786948280903;0,764319373566019;0,862104568581363;0,84247862929767;0,763347103433927;0,879699140521468;0,889570543299863;0,840309535371789;0,88584547481776;0,904252586267597;0,861815905459486;0,897893059806623;0,906201280286591;0,880649260174671;0,897057336538696;0,906504551993196;0,887838277690806;0,888625605850364;0,900258111154832;0,890543987926094;0,798715256809228;0,87858265074765;0,905700754723545;0,894735471382139
