AncId, Desc1, Desc2, Branch Length 1, Branch Length 2
286, 222, ASV 53 Root Eukaryota Stramenopiles Ochrophyta Pelagophyceae Pelagomonadales Pelagomonadaceae Pelagomonas Pelagomonas calceolata, 0.0000000000, 0.0000000000
287, 286, 266, 0.0000000000, 0.0000000000
288, 287, 232, 0.0000000000, 0.0000000000
289, 261, 288, 0.0000000000, 0.0000000000
290, 169, 289, 0.0000000000, 0.0000000000
291, 168, 290, 0.0000000000, 0.0000000000
292, 285, 291, 0.0000000000, 0.0000000000
293, 292, 180, 0.0000000000, 0.0000000000
294, ASV 1241 Root Eukaryota Hacrobia Haptophyta Prymnesiophyceae Prymnesiales Chrysochromulinaceae Chrysochromulina Chrysochromulina sp., ASV 1694 Root Eukaryota Hacrobia Haptophyta Prymnesiophyceae Prymnesiales Chrysochromulinaceae Chrysochromulina Chrysochromulina sp., 0.0000000000, 0.0000000000
295, 204, 294, 0.0000000000, 0.0000000000
296, 295, ASV 872 Root Eukaryota Hacrobia Haptophyta Prymnesiophyceae Prymnesiales Chrysochromulinaceae Chrysochromulina Chrysochromulina sp., 0.0000000000, 0.0000000000
297, 296, 194, 0.0000000000, 0.0000000000
298, 297, 188, 0.0000000000, 0.0000000000
299, ASV 65 Root Eukaryota Archaeplastida Chlorophyta Chloropicophyceae Chloropicales Chloropicaceae Chloroparvula Chloroparvula pacifica, ASV 86 Root Eukaryota Archaeplastida Chlorophyta Chloropicophyceae Chloropicales Chloropicaceae Chloroparvula Chloroparvula pacifica, 0.0000000000, 0.0000000000
300, ASV 48 Root Eukaryota Archaeplastida Chlorophyta Chloropicophyceae Chloropicales Chloropicaceae Chloroparvula Chloroparvula pacifica, ASV 78 Root Eukaryota Archaeplastida Chlorophyta Chloropicophyceae Chloropicales Chloropicaceae Chloroparvula Chloroparvula pacifica, 0.0000000000, 0.0000000000
301, ASV 56 Root Eukaryota Archaeplastida Chlorophyta Chloropicophyceae Chloropicales Chloropicaceae Chloroparvula Chloroparvula pacifica, 278, 0.0000000000, 0.0000000000
302, 298, ASV 1254 Root Eukaryota Hacrobia Haptophyta Prymnesiophyceae Prymnesiophyceae Clade D Prymnesiophyceae Clade D X Prymnesiophyceae Clade D XX Prymnesiophyceae Clade D XX sp., 0.0000000000, 0.0000000000
303, ASV 29 Root Eukaryota Archaeplastida Chlorophyta Chloropicophyceae Chloropicales Chloropicaceae Chloroparvula Chloroparvula pacifica, 301, 0.0000000000, 0.0000000000
304, 302, ASV 834 Root Eukaryota Hacrobia Haptophyta Prymnesiophyceae Prymnesiales Chrysochromulinaceae Chrysochromulina Chrysochromulina sp., 0.0000000000, 0.0000000000
305, 304, ASV 1405 Root Eukaryota Hacrobia Haptophyta Prymnesiophyceae Prymnesiales Chrysochromulinaceae Chrysochromulina Chrysochromulina sp., 0.0000000000, 0.0000000000
306, 305, ASV 1317 Root Eukaryota Hacrobia Haptophyta Prymnesiophyceae Prymnesiales Chrysochromulinaceae Chrysochromulina Chrysochromulina sp., 0.0000000000, 0.0000000000
307, 306, 276, 0.0000000000, 0.0000000000
308, 239, 307, 0.0000000000, 0.0000000000
309, 293, 308, 0.0000000000, 0.0000000000
310, 309, 284, 0.0000000000, 0.0000000000
311, 310, 267, 0.0000000000, 0.0000000000
312, 311, 242, 0.0000000000, 0.0000000000
313, 299, 303, 0.0000000000, 0.0000000000
314, 312, 313, 0.0000000000, 0.0000000000
315, 314, 300, 0.0000000000, 0.0000000000
