"";"Chlorophyta";"Ochrophyta";"Cryptophyta";"Haptophyta";"Katablepharidophyta"
"C1A17";643;255;0;4735;0
"C1F18";10021;913;402;393;429
"C1A18";14455;3850;1195;409;50
"C2A17";95;38;8;81;0
"C2F18";2345;2403;468;279;114
"C2A18";11514;2115;652;118;21
"C3A17";382;2649;0;30;0
"C3F18";777;7300;115;532;13
"C3A18";4949;4414;984;481;66
"C4A17";122;53;0;47;0
"C4F18";1396;5502;302;631;17
"C4A18";6406;6161;1139;518;65
"F1A17";3193;375;3020;802;0
"F1F18";1173;1460;130;93;139
"F1A18";12839;720;1233;64;39
"F2A17";4957;336;1129;639;0
"F2F18";2442;1201;266;120;215
"F2A18";17280;1335;955;72;69
"F3A17";2388;97;255;190;0
"F3F18";3275;764;1114;214;536
"F3A18";11275;446;453;28;31
"F4A17";1418;68;260;155;0
"F4F18";3269;722;1014;165;469
"F4A18";11540;1093;1910;70;67
"H1A17";17213;345;408;1761;0
"H1F18";26587;390;663;92;290
"H1A18";18850;1256;775;157;16
"H2A17";18321;284;366;1284;0
"H2F18";23038;435;981;111;185
"H2A18";18473;1509;936;139;23
"H3A17";16246;387;1012;415;0
"H3F18";27140;723;864;219;143
"H3A18";18712;1089;1001;134;39
"H4A17";17452;768;1261;541;0
"H4F18";27445;577;689;148;83
"H4A18";21720;2954;1412;351;8
"P1F18";18892;2362;865;69;189
"P1A18";2895;4160;274;149;0
"P2F18";17954;2218;1561;226;307
"P3F18";11998;2559;1458;101;124
"P4F18";16401;2339;815;53;283
