"";"Chlorophyta";"Ochrophyta";"Haptophyta";"Rhodophyta"
"C1A17";0;0;0;0
"C1F18";0;0;0;0
"C1A18";0;0;0;0
"C2A17";0;0;0;0
"C2F18";0;0;0;0
"C2A18";0;0;0;0
"C3A17";0;0;0;0
"C3F18";0;0;0;0
"C3A18";0;0;0;0
"C4A17";0;0;0;0
"C4F18";0;0;0;0
"C4A18";0;0;0;0
"F1A17";0;0;0;0
"F1F18";0;0;0;0
"F1A18";0;0;0;0
"F2A17";0;0;0;0
"F2F18";0;0;0;0
"F2A18";0;0;0;0
"F3A17";0;0;0;0
"F3F18";0;0;0;0
"F3A18";0;0;0;0
"F4A17";0;0;0;0
"F4F18";0;0;0;0
"F4A18";0;0;0;0
"H1A17";509;176;120;168
"H1F18";22;118;0;22
"H1A18";297;33;83;17
"H2A17";989;27;32;11
"H2F18";27;78;0;0
"H2A18";256;204;75;75
"H3A17";729;42;56;48
"H3F18";443;90;55;0
"H3A18";25;78;35;11
"H4A17";3257;188;263;68
"H4F18";132;32;31;0
"H4A18";39;47;43;0
"P1F18";0;0;0;0
"P1A18";0;0;0;0
"P2F18";0;0;0;0
"P3F18";0;0;0;0
"P4F18";0;0;0;0
