"";"C1_2017.04";"C1_2018.02";"C1_2018.04";"C2_2017.04";"C2_2018.02";"C2_2018.04";"C3_2017.04";"C3_2018.02";"C3_2018.04";"C4_2017.04";"C4_2018.02";"C4_2018.04";"F1_2017.04";"F1_2018.02";"F1_2018.04";"F2_2017.04";"F2_2018.02";"F2_2018.04";"F3_2017.04";"F3_2018.02";"F3_2018.04";"F4_2017.04";"F4_2018.02";"F4_2018.04";"H1_2017.04";"H1_2018.02";"H1_2018.04";"H2_2017.04";"H2_2018.02";"H2_2018.04";"H3_2017.04";"H3_2018.02";"H3_2018.04";"H4_2017.04";"H4_2018.02";"H4_2018.04";"P1_2018.02";"P1_2018.04";"P2_2018.02";"P3_2018.02";"P4_2018.02";"Cha";"Fla";"Hu";"Pc";"Total";"Color"
"Chlorophyta";"  700";"10150";"15047";"   95";" 2468";"12300";"  424";" 1073";" 5915";"  181";" 1881";" 7028";"3386";" 1182";"13831";" 5104";" 2468";"17589";" 2441";" 3332";"12353";" 1429";" 3317";"12038";"18757";"26927";"19349";"19845";"23710";"18849";"17584";"28129";"18849";"23461";"28048";"22153";"19202";" 3150";"19038";"20874";"16930";" 57262";" 78470";"265661";"79194";"480587";"#008000"
"Ochrophyta";" 4477";" 3025";" 4257";"  359";" 9875";" 2739";" 4871";"22363";" 9863";"  653";"19344";" 9083";"1288";"19140";" 1208";" 1297";"10509";" 2038";"  255";" 3632";"  608";"  107";" 3363";" 1878";"  739";"  853";" 1733";"  604";"  828";" 1996";"  625";" 1107";" 1523";" 1242";" 1167";" 3648";" 2588";"11860";" 2561";" 2748";" 2680";" 90909";" 45323";" 16065";"22437";"174734";"#4E0066"
"Cryptophyta";"    0";"  558";" 1359";"    8";"  619";"  795";"    0";"  201";" 1223";"    0";"  445";" 1243";"5899";"  182";" 1415";" 1433";"  360";" 1082";"  325";" 1191";"  506";"  400";" 1136";" 2231";"  501";"  668";"  889";"  445";" 1119";" 1054";" 1137";"  888";" 1148";" 1428";"  744";" 1543";"  964";"  274";" 1670";" 1635";"  918";"  6451";" 16160";" 11564";" 5461";" 39636";"#000078"
"Haptophyta";" 4975";"  441";"  555";"   81";"  340";"  319";"   39";"  802";" 1076";"   47";"  973";" 1092";"1160";"  150";"  118";"  890";"  198";"  169";"  262";"  438";"   69";"  177";"  341";"  263";" 2262";"  265";"  447";" 1588";"  289";"  416";"  793";"  369";"  300";" 1104";"  272";"  617";"  111";"  283";"  253";"  208";"  132";" 10740";"  4235";"  8722";"  987";" 24684";"#CC0000"
"Katablepharidophyta";"    0";"  517";"  591";"    5";"  214";"  183";"   13";"   58";"  550";"    0";"  122";"  469";" 219";"  142";"   54";"   77";"  215";"   95";"   40";"  566";"   31";"   18";"  509";"   83";"    0";"  307";"   18";"    0";"  199";"   24";"    0";"  160";"   44";"    7";"  107";"    8";"  274";"   29";"  377";"  163";"  358";"  2722";"  2049";"   874";" 1201";"  6846";"#20E99F"
"Rhodophyta";"    0";"    0";"    0";"    0";"    0";"    0";"    0";"    5";"    0";"    0";"    0";"    0";"  13";"    5";"   12";"   12";"   10";"    0";"    0";"    0";"   49";"   24";"   20";"    0";"  411";"  128";"  114";"   11";"   10";"  129";"   78";"    0";"   48";"   93";"    1";"   45";"    8";" 2044";"    0";"    0";"    0";"     5";"   145";"  1068";" 2052";"  3270";"#FFB800"
