"";"ASV_633_Pelagomonadaceae_clade_D1_sp.";"ASV_1907_Rhodomonas_sp.";"ASV_946_Minidiscus_variabilis";"ASV_276_Katablepharidales_XX_sp.";"ASV_1249_Non_Assigned";"ASV_501_Chloroparvula_pacifica";"ASV_443_Chlorodendrales_XX_sp.";"ASV_29_Chloroparvula_pacifica";"ASV_1403_Pelagomonas_calceolata";"ASV_736_Micromonas_pusilla";"ASV_539_Leucocryptos_marina";"ASV_109_Non_Assigned";"ASV_66_Teleaulax_gracilis";"ASV_606_Chrysochromulina_sp.";"ASV_10_Bathycoccus_prasinos";"ASV_62_Pelagomonas_calceolata";"ASV_1997_Crustomastigaceae_X_sp.";"ASV_885_Micromonas_pusilla";"ASV_1631_Florenciellales_X_sp.";"ASV_593_Non_Assigned";"ASV_38_Phaeocystis_globosa";"ASV_910_Triparma_pacifica";"ASV_106_Pelagomonadales_clade_B1_sp.";"ASV_455_Haptolina_sp.";"ASV_235_Crustomastigaceae_X_sp.";"ASV_722_Chloroparvula_pacifica";"ASV_1431_Brockmanniella_brockmannii";"ASV_157_Pelagomonadales_clade_B1_sp.";"ASV_37_Micromonas_commoda_A2";"ASV_834_Chrysochromulina_sp.";"ASV_2113_Rhizosolenia_imbricata";"ASV_1166_Non_Assigned";"ASV_86_Chloroparvula_pacifica";"ASV_1436_Micromonas_bravo_B2";"ASV_218_Guinardia_delicatula";"ASV_2202_Non_Assigned";"ASV_78_Chloroparvula_pacifica";"ASV_1317_Chrysochromulina_sp.";"ASV_642_Florenciella_parvula";"ASV_537_Hemiselmis_sp._nucl";"ASV_1295_Florenciellales_X_sp.";"ASV_60_Pycnococcaceae_X_sp.";"ASV_58_Phaeocystis_globosa";"ASV_23_Micromonas_bravo_B1";"ASV_1173_Micromonas_bravo_B2";"ASV_471_Chrysophyceae_Clade-H_X_sp.";"ASV_300_Chloroparvula_pacifica";"ASV_193_Aureococcus_anophagefferens";"ASV_50_Plagioselmis_prolonga";"ASV_1364_Chrysophyceae_Clade-H_X_sp.";"ASV_2062_Florenciellales_X_sp.";"ASV_118_Teleaulax_sp.";"ASV_1363_Micromonas_pusilla";"ASV_192_Chloroparvula_pacifica";"ASV_725_Chrysophyceae_Clade-H_X_sp.";"ASV_167_Katablepharidales_XX_sp.";"ASV_94_Pycnococcaceae_X_sp.";"ASV_71_Chaetoceros_debilis";"ASV_2520_Rhizosolenia_delicatula";"ASV_40_Pelagomonas_calceolata";"ASV_33_Micromonas_commoda_A2";"ASV_152_Aureococcus_anophagefferens";"ASV_59_Picochlorum_sp.";"ASV_1560_Rhodomonas_sp.";"ASV_323_Chrysochromulina_sp.";"ASV_89_Teleaulax_gracilis";"ASV_2990_Chrysophyceae_Clade-H_X_sp.";"ASV_13_Bathycoccus_prasinos";"ASV_1004_Pelagomonadaceae_clade_C_sp.";"ASV_205_Aureococcus_anophagefferens";"ASV_1092_Pelagomonas_calceolata";"ASV_597_Chloropicon_sieburthii";"ASV_404_Chloroparvula_pacifica";"ASV_52_Ostreococcus_lucimarinus";"ASV_115_Minutocellus_polymorphus";"ASV_446_Cylindrotheca_closterium";"ASV_2_Ostreococcus_lucimarinus";"ASV_1347_Pelagomonadaceae_clade_C_sp.";"ASV_31_Plagioselmis_prolonga";"ASV_49_Phaeocystis_globosa";"ASV_82_Pelagomonadales_clade_B1_sp.";"ASV_44_Plagioselmis_prolonga";"ASV_1862_Crustomastigaceae_X_sp.";"ASV_985_Non_Assigned";"ASV_668_Pelagomonadaceae_clade_C_sp.";"ASV_255_Katablepharidales_XX_sp.";"ASV_30_Picochlorum_sp.";"ASV_2680_Brockmanniella brockmannii";"ASV_1312_Brockmanniella brockmannii";"ASV_144_Chaetoceros_tenuissimus";"ASV_1171_Non_Assigned";"ASV_690_Chloroparvula_pacifica";"ASV_510_Chloroparvula_pacifica";"ASV_14_Bathycoccus_prasinos";"ASV_412_Paraphysomonas_imperforata";"ASV_63_Ostreococcus_lucimarinus";"ASV_1241_Chrysochromulina_sp.";"ASV_4_Ostreococcus_lucimarinus";"ASV_2601_Chloroparvula_B3_sp.";"ASV_3447_Chrysophyceae_Clade-H_X_sp.";"ASV_1388_Chloropicon_roscoffensis";"ASV_181_Chloropicon_laureae";"ASV_535_Chrysophyceae_Clade-H_X_sp.";"ASV_314_Chrysophyceae_Clade-H_X_sp.";"ASV_1054_Hemiselmis_sp._nucl";"ASV_1_Ostreococcus_lucimarinus";"ASV_1164_Pelagomonadaceae_clade_C_sp.";"ASV_35_Ostreococcus_lucimarinus";"ASV_77_Minutocellus_polymorphus";"ASV_1091_Pelagomonas_calceolata";"ASV_452_Chloroparvula_pacifica";"ASV_99_Teleaulax_gracilis";"ASV_126_Detonula_pumila";"ASV_51_Picochlorum_sp.";"ASV_577_Chlorodendrales_XX_sp.";"ASV_465_Parmales_env_3B_sp.";"ASV_298_Aureococcus_anophagefferens";"ASV_83_Teleaulax_sp.";"ASV_140_Pycnococcaceae_X_sp.";"ASV_18_Rhizosolenia_delicatula";"ASV_15_Micromonas_bravo_B1";"ASV_21_Micromonas_commoda_A2";"ASV_1480_Triparma_laevis_clade";"ASV_2201_Rhodomonas_sp.";"ASV_26_Micromonas_bravo_B1";"ASV_359_Ostreococcus_lucimarinus";"ASV_116_Pelagomonadales_clade_B1_sp.";"ASV_576_Parmales_env_3A_sp.";"ASV_84_Pycnococcaceae_X_sp.";"ASV_2098_Crustomastigaceae_X_sp.";"ASV_382_Chloroparvula_pacifica";"ASV_56_Chloroparvula_pacifica";"ASV_835_Pelagomonas_calceolata";"ASV_112_Teleaulax_sp.";"ASV_3445_Guinardia_solstherfothii";"ASV_353_Chrysochromulina_sp.";"ASV_274_Guinardia_delicatula";"ASV_1152_Minidiscus_variabilis";"ASV_502_Pelagomonadaceae_clade_D1_sp.";"ASV_499_Chloroparvula_pacifica";"ASV_872_Chrysochromulina_sp.";"ASV_1231_Florenciella_parvula";"ASV_252_Chloroparvula_pacifica";"ASV_1218_Chrysophyceae_Clade-H_X_sp.";"ASV_65_Chloroparvula_pacifica";"ASV_53_Pelagomonas_calceolata";"ASV_413_Leucocryptos_marina";"ASV_906_Micromonas_pusilla";"ASV_783_Leucocryptos_marina";"ASV_1254_Prymnesiophyceae_Clade_D_XX_sp.";"ASV_28_Rhizosolenia_delicatula";"ASV_131_Thalassiosira_tenera";"ASV_1405_Chrysochromulina_sp.";"ASV_1153_Micromonas_bravo_B2";"ASV_1694_Chrysochromulina_sp.";"ASV_48_Chloroparvula_pacifica";"ASV_806_Hemiselmis_sp._nucl";"ASV_969_Thalassiosira_rotula"
"H1_2017.08";3;0;25;0;0;0;316;40;0;9;0;0;65;0;180;39;0;7;0;3;693;0;5;35;0;0;0;3;75;6;0;0;0;0;0;2;0;7;0;0;0;44;460;172;0;0;0;0;46;0;0;28;1;0;0;0;47;0;0;64;83;1;65;0;8;46;0;134;1;2;0;0;0;210;0;0;4297;3;73;488;7;61;0;16;3;0;81;0;7;10;0;0;0;140;16;197;1;4059;0;0;0;32;0;0;0;5764;0;258;0;0;0;41;21;68;262;32;0;24;0;0;285;113;0;0;161;0;4;0;68;0;0;0;0;24;0;44;0;0;2;0;2;0;0;0;38;43;0;5;0;0;0;24;17;0;0;0;0;11
"H1_2018.02";0;3;0;59;37;0;0;53;0;14;45;60;75;0;532;32;7;13;0;0;34;10;9;0;70;0;0;8;339;28;2;0;0;0;6;0;0;0;0;0;0;89;0;472;0;0;0;16;97;0;0;44;4;30;0;98;0;0;0;31;359;16;0;5;0;48;0;414;0;8;0;0;0;288;0;49;6515;0;111;0;9;120;12;0;0;71;75;0;0;17;0;0;0;409;0;294;7;5915;0;0;0;0;0;6;28;8612;0;392;0;0;0;48;0;0;0;0;12;43;0;13;657;513;16;6;424;51;6;0;0;1;0;0;0;18;0;0;0;0;0;0;23;0;0;0;27;27;0;6;17;0;0;0;0;0;0;0;17;0
"H1_2018.08";4;0;5;16;0;0;0;78;0;1;0;0;49;0;660;157;2;3;0;4;31;0;131;0;38;8;0;63;207;0;0;0;25;2;0;0;40;0;0;0;0;0;57;53;7;0;4;46;124;0;6;48;0;13;0;0;0;0;0;190;221;81;0;0;0;56;0;462;0;44;0;0;6;232;0;0;4634;0;194;34;137;151;1;0;0;0;74;0;0;0;0;0;7;394;0;228;0;4322;0;0;0;0;0;0;0;6171;0;287;0;0;8;39;0;0;0;0;38;57;30;0;64;300;0;0;64;0;101;28;0;0;0;81;0;57;0;0;0;0;1;0;7;16;10;0;40;143;0;0;0;28;0;61;0;5;0;68;0;0
"H2_2017.08";0;0;14;0;0;0;0;0;0;6;0;0;42;36;194;37;1;2;0;0;470;0;4;17;0;0;0;6;94;5;0;0;20;0;0;0;0;10;13;0;0;0;364;214;0;0;0;1;68;0;0;18;1;0;0;0;31;0;0;46;118;5;0;0;18;26;0;148;1;4;0;0;0;240;0;0;4797;1;69;352;8;47;2;0;1;0;82;0;0;0;0;0;0;164;44;219;4;4670;0;0;0;0;0;0;0;6312;3;312;0;0;0;36;30;0;0;0;0;38;0;0;323;147;0;0;220;0;5;0;0;3;0;0;0;22;0;0;0;0;0;0;4;0;0;0;0;35;0;1;0;0;0;0;4;0;0;0;0;26
"H2_2018.02";0;6;0;44;0;0;0;29;0;10;49;79;68;0;402;61;1;5;7;0;0;0;7;0;62;0;0;0;362;8;1;0;14;0;0;0;24;3;48;0;31;109;0;393;0;15;11;3;168;0;0;38;4;22;0;57;0;74;0;0;350;0;0;5;0;52;0;360;0;14;0;0;4;266;22;0;5514;0;262;45;0;163;1;0;0;35;91;0;0;0;0;0;0;341;0;224;0;5105;0;0;0;0;0;0;0;7445;0;323;0;0;5;46;0;0;0;26;0;66;19;0;518;501;0;4;370;0;12;0;0;3;0;23;0;60;0;28;0;0;0;0;10;0;22;0;21;35;0;11;0;0;0;0;17;0;0;73;43;0
"H2_2018.08";13;0;0;0;0;0;0;84;0;5;0;0;106;0;603;150;0;1;0;8;35;0;132;0;51;6;0;85;201;0;0;0;32;8;0;0;24;0;0;0;0;0;30;59;2;0;2;81;120;0;0;63;0;9;0;23;27;0;0;230;218;91;34;0;0;71;0;466;5;80;0;0;12;210;0;0;4480;1;178;50;139;178;3;0;4;0;41;0;0;0;0;0;9;420;0;193;0;4293;4;0;0;29;0;0;0;5990;5;276;0;0;2;65;0;0;0;36;51;102;0;0;73;304;0;0;39;111;142;0;0;1;0;52;0;53;0;19;0;0;12;0;4;0;11;0;36;175;0;3;0;0;0;69;0;2;1;47;0;0
"H3_2017.08";2;0;0;0;0;0;0;34;0;4;0;0;79;21;159;64;0;2;0;7;112;0;10;0;0;0;9;4;105;9;0;0;0;0;0;0;0;3;0;0;0;0;104;211;0;0;0;3;137;0;0;92;4;0;0;0;71;0;0;88;116;8;66;0;0;80;0;128;6;4;0;0;0;220;10;0;4180;0;201;128;15;156;0;0;8;0;0;0;0;0;0;0;0;139;51;181;1;3948;0;0;0;0;0;0;0;5719;3;273;0;0;0;89;0;29;0;0;7;100;0;0;254;178;0;0;198;0;5;0;26;0;0;0;0;78;0;31;0;0;4;0;1;0;0;0;0;79;0;1;0;0;0;0;5;0;0;0;0;0
"H3_2018.02";0;3;0;39;0;0;0;34;0;2;0;134;61;0;549;21;1;6;0;0;24;82;9;58;54;0;0;0;601;8;0;0;14;4;0;0;33;6;21;45;18;65;0;659;6;22;4;16;125;0;0;71;2;7;0;38;42;13;0;24;549;9;0;8;76;46;0;528;0;15;0;0;0;260;101;0;6451;0;155;0;8;120;0;0;0;32;62;6;4;0;0;0;0;436;0;226;0;5789;0;0;0;0;6;0;0;8129;0;328;149;0;0;37;0;42;0;0;0;109;32;0;815;686;13;2;543;0;3;0;43;1;0;37;0;82;0;26;0;0;0;0;13;0;13;0;20;49;34;3;0;0;0;0;8;7;0;57;0;0
"H3_2018.08";8;0;7;0;0;4;0;117;0;0;0;0;65;0;484;119;3;0;0;12;0;0;92;0;36;9;0;61;162;0;0;0;41;1;0;0;46;0;0;0;0;50;24;54;5;0;8;58;203;0;0;68;0;19;0;39;0;0;0;144;201;38;20;0;0;44;0;339;3;41;0;25;8;202;0;0;4712;0;256;72;107;170;4;0;4;0;0;0;21;0;0;1;12;384;0;188;5;4337;0;0;0;23;0;0;0;6106;0;271;14;0;13;55;0;69;0;0;43;79;0;0;60;276;0;0;50;104;61;0;0;0;1;83;0;61;0;0;4;0;21;0;22;0;13;0;68;151;0;0;0;11;16;64;0;4;0;99;0;0
"H4_2017.08";8;0;0;0;0;0;0;0;0;6;0;0;131;32;162;133;5;6;0;8;158;0;23;0;0;0;0;15;195;0;0;0;0;0;0;0;61;0;0;0;0;42;149;273;0;0;0;12;197;0;2;103;5;0;0;0;44;0;0;222;193;10;0;0;0;115;0;122;2;11;0;15;0;192;0;0;4587;2;203;144;23;154;2;0;4;0;104;0;0;0;0;0;0;79;0;195;3;4099;0;0;0;27;0;0;0;5858;5;260;0;0;0;92;18;0;0;33;5;150;0;0;347;230;0;0;261;0;15;11;73;5;0;0;0;116;0;48;0;0;10;0;3;13;0;0;0;183;0;4;0;0;0;0;0;0;4;0;0;0
"H4_2018.02";0;2;0;13;0;0;0;44;0;13;0;86;42;0;550;25;4;5;0;0;30;0;7;18;64;0;4;7;431;12;0;0;0;0;0;8;21;3;0;43;0;69;0;664;0;34;0;11;83;0;0;60;4;32;0;0;50;0;0;30;480;21;75;9;48;34;1;393;0;13;0;0;0;290;85;0;6186;0;138;0;9;112;3;0;0;48;53;5;5;0;21;0;0;392;0;259;8;5946;0;0;0;0;0;0;0;8603;0;387;164;0;0;29;0;29;0;0;18;78;0;0;841;686;0;2;622;63;6;0;87;2;0;0;0;57;2;0;0;0;0;0;21;0;19;0;31;23;22;6;0;0;0;0;0;0;8;33;0;0
"H4_2018.08";7;0;0;8;0;5;0;607;10;1;0;0;151;10;1060;275;0;3;0;12;116;0;261;0;88;26;0;155;332;0;0;16;228;7;0;4;206;1;0;0;0;46;79;85;8;0;40;175;173;8;0;90;2;72;1;0;0;0;13;388;330;221;76;0;42;93;0;720;5;221;20;0;60;217;0;0;4430;2;295;77;357;219;4;0;4;0;121;0;0;0;0;5;42;714;0;165;0;4016;1;6;6;28;0;0;0;5802;0;265;0;13;46;106;0;79;0;35;113;153;0;0;105;403;0;0;64;0;254;19;0;3;11;389;41;132;0;0;0;9;12;1;8;0;55;1;270;300;0;6;0;18;0;0;0;11;0;455;0;0
"P1_2018.02";0;7;0;33;0;2;0;349;0;17;18;391;91;12;783;210;1;13;0;0;0;0;24;0;60;15;4;26;295;0;0;0;111;12;0;0;130;0;0;33;0;89;57;419;10;0;108;27;104;0;21;65;6;116;0;60;0;0;0;264;337;43;492;4;0;68;0;636;3;30;0;0;18;137;393;36;3303;2;167;0;41;105;2;0;15;42;610;1;5;0;0;0;18;562;0;142;0;3018;0;0;0;9;0;0;0;4259;7;221;508;0;12;74;0;537;0;0;22;79;0;0;484;426;0;5;352;0;37;0;0;1;2;209;0;63;0;0;0;0;0;7;0;9;117;0;148;243;36;20;0;0;0;0;0;11;0;266;0;0
"P1_2018.08";2;0;1;0;5;0;54;63;0;0;0;17;45;0;49;12;0;0;3;8;68;0;15;0;0;6;16;6;0;0;1;12;15;0;288;1;12;7;4;0;3;116;32;9;0;0;16;7;41;51;0;4;0;11;81;0;83;0;5;10;29;9;280;0;0;32;0;0;0;5;0;16;7;17;36;0;304;0;59;40;11;35;0;10;0;0;391;3;0;0;5;0;1;36;40;11;0;285;3;2;4;40;35;58;0;363;0;10;0;0;6;28;1913;307;27;32;6;17;49;2;17;57;0;0;0;0;12;54;84;0;0;44;0;13;0;0;195;2;8;0;0;0;11;38;15;6;0;0;0;0;2;1114;0;0;2;46;0;15
"P2_2018.02";0;4;0;77;0;4;0;207;18;22;52;357;109;35;849;187;3;16;0;0;67;0;35;27;84;6;6;18;283;0;0;0;83;14;0;0;95;0;0;26;14;82;0;386;23;20;69;54;211;0;0;141;14;84;0;108;59;9;0;226;306;73;440;4;77;81;0;690;0;28;10;0;25;155;328;50;3071;0;290;0;39;233;2;0;0;70;621;1;8;0;0;8;21;587;0;142;0;2763;0;0;8;0;0;0;30;3971;0;193;454;18;14;64;0;489;0;0;21;196;40;0;575;400;0;3;419;41;35;0;51;2;8;173;12;169;0;0;0;0;0;1;0;0;67;0;104;197;0;13;0;0;0;0;20;17;0;154;0;0
"P3_2018.02";0;0;0;28;0;4;0;91;0;14;0;546;85;36;513;137;1;19;0;0;0;0;26;0;80;4;5;2;179;15;0;0;35;11;0;0;45;0;15;0;5;41;0;328;24;0;20;30;252;0;0;107;6;42;0;34;32;0;0;170;222;32;147;1;0;67;4;398;0;21;0;0;11;80;500;55;2339;0;325;28;37;252;1;0;0;29;176;2;0;0;0;0;7;383;0;106;8;2032;0;0;0;0;0;0;0;2936;0;165;771;0;8;64;0;178;0;0;21;165;0;0;414;285;0;0;299;25;17;0;72;1;2;51;0;114;2;0;0;0;0;1;4;0;25;0;60;161;33;17;0;10;0;0;0;8;0;60;26;0
"P4_2018.02";0;0;0;58;0;3;0;170;4;20;14;464;53;0;723;143;1;13;0;0;0;3;24;0;77;6;5;21;286;0;0;0;69;9;0;0;94;0;21;0;12;64;29;459;14;0;45;32;93;0;0;89;7;91;0;97;31;0;0;180;343;34;251;0;0;41;5;634;0;32;5;0;15;108;456;0;2917;0;127;0;26;109;0;0;0;72;306;0;7;12;0;1;12;571;0;118;0;2700;0;0;0;0;0;0;0;3795;0;169;612;11;11;49;0;263;0;0;27;142;16;0;592;393;15;0;442;30;22;0;33;4;4;137;13;100;0;24;0;0;0;4;0;0;58;0;108;153;22;12;20;0;0;0;0;29;0;143;12;0
