"";"C1_2017.08";"C1_2018.02";"C1_2018.08";"C2_2017.08";"C2_2018.02";"C2_2018.08";"C3_2017.08";"C3_2018.02";"C3_2018.08";"C4_2017.08";"C4_2018.02";"C4_2018.08";"F1_2017.08";"F1_2018.02";"F1_2018.08";"F2_2017.08";"F2_2018.02";"F2_2018.08";"F3_2017.08";"F3_2018.02";"F3_2018.08";"F4_2017.08";"F4_2018.02";"F4_2018.08";"H1_2017.08";"H1_2018.02";"H1_2018.08";"H2_2017.08";"H2_2018.02";"H2_2018.08";"H3_2017.08";"H3_2018.02";"H3_2018.08";"H4_2017.08";"H4_2018.02";"H4_2018.08";"P1_2018.02";"P1_2018.08";"P2_2018.02";"P3_2018.02";"P4_2018.02"
"ASV_3445_Guinardia_solstherfothii";0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0
"ASV_353_Chrysochromulina_sp.";0;29;0;0;49;0;0;71;0;0;47;0;70;0;29;78;0;0;15;0;11;0;0;0;44;0;0;0;28;19;31;26;0;48;0;0;0;0;0;0;24
"ASV_274_Guinardia_delicatula";4;13;0;0;34;0;204;63;38;0;60;0;29;105;4;0;53;0;0;25;0;0;5;6;0;0;0;0;0;0;0;0;4;0;0;0;0;195;0;0;0
"ASV_1152_Minidiscus_variabilis";0;0;0;0;3;1;3;0;0;0;0;0;0;1;43;0;1;0;23;0;0;28;0;12;0;0;0;0;0;0;0;0;0;0;0;9;0;2;0;0;0
"ASV_502_Pelagomonadaceae_clade_D1_sp.";0;0;33;0;0;104;0;0;49;0;0;46;0;0;42;0;0;8;0;0;39;0;0;18;2;0;1;0;0;12;4;0;21;10;0;12;0;8;0;0;0
"ASV_499_Chloroparvula_pacifica";0;1;92;0;0;170;0;0;31;0;0;53;0;0;19;0;5;8;0;4;35;0;0;7;0;0;0;0;0;0;0;0;0;0;0;1;7;0;1;1;4
"ASV_872_Chrysochromulina_sp.";0;0;0;0;0;0;0;0;2;0;0;7;0;0;0;0;0;7;0;0;0;0;0;15;2;23;7;4;10;4;1;13;22;3;21;8;0;0;0;4;0
"ASV_1231_Florenciella_parvula";0;0;0;0;0;0;0;0;50;0;0;31;0;0;0;8;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;13;0;0;9;0;0;0;0
"ASV_252_Chloroparvula_pacifica";0;40;32;0;11;64;0;0;28;0;15;26;0;11;62;0;22;24;0;16;116;0;0;31;0;0;10;0;22;11;0;13;13;0;19;55;117;11;67;25;58
"ASV_1218_Chrysophyceae_Clade-H_X_sp.";0;0;0;0;13;0;0;0;4;0;0;14;0;0;8;0;0;11;0;0;14;0;0;4;0;0;0;0;0;0;0;0;0;0;0;1;0;38;0;0;0
"ASV_65_Chloroparvula_pacifica";0;60;465;0;12;956;0;0;151;0;19;244;0;14;296;12;33;97;0;10;396;0;0;83;38;27;40;0;21;36;0;20;68;0;31;270;148;15;104;60;108
"ASV_53_Pelagomonas_calceolata";0;24;573;0;22;283;0;0;451;0;23;638;0;0;44;53;0;119;28;37;14;0;71;73;43;27;143;35;35;175;79;49;151;183;23;300;243;6;197;161;153
"ASV_413_Leucocryptos_marina";0;19;22;0;25;0;0;0;0;0;0;0;0;26;0;0;55;18;0;66;0;0;61;41;0;0;0;0;0;0;0;34;0;0;22;0;36;0;0;33;22
"ASV_906_Micromonas_pusilla";0;1;3;0;5;0;0;0;0;0;0;0;7;2;2;3;0;4;5;4;3;0;4;10;5;6;0;1;11;3;1;3;0;4;6;6;20;0;13;17;12
"ASV_783_Leucocryptos_marina";0;22;0;0;0;0;0;0;0;0;0;25;0;0;15;0;0;20;0;34;0;0;37;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20
"ASV_1254_Prymnesiophyceae_Clade_D_XX_sp.";0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;28;0;0;0;0;0;11;0;0;18;0;0;0;10;0
"ASV_28_Rhizosolenia_delicatula";42;103;0;0;304;0;920;2497;57;0;1769;0;0;65;0;0;7;0;0;3;0;0;3;0;0;0;0;0;0;0;0;0;16;0;0;0;0;2;0;0;0
"ASV_131_Thalassiosira_tenera";0;0;27;0;0;55;0;0;236;0;0;129;58;0;18;0;0;33;0;0;31;0;0;0;24;0;61;0;0;69;0;0;64;0;0;0;0;1114;0;0;0
"ASV_1405_Chrysochromulina_sp.";0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;9;0;0;0;2;0;0;3;0;17;0;0;4;17;0;5;8;0;0;0;0;0;0;20;0;0
"ASV_1153_Micromonas_bravo_B2";0;0;0;0;0;0;0;0;11;0;0;13;0;0;0;0;0;0;0;0;0;0;0;4;0;0;5;0;0;2;0;7;4;0;0;11;11;0;17;8;29
"ASV_1694_Chrysochromulina_sp.";0;0;0;0;0;14;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;1;0;0;0;4;8;0;0;2;0;0;0
"ASV_48_Chloroparvula_pacifica";0;115;304;0;30;392;0;0;125;0;15;110;0;26;587;0;46;194;46;28;695;64;0;172;0;0;68;0;73;47;0;57;99;0;33;455;266;46;154;60;143
"ASV_806_Hemiselmis_sp._nucl";0;0;0;0;0;0;0;0;0;0;46;0;0;13;0;0;0;0;0;0;0;0;18;0;0;17;0;0;43;0;0;0;0;0;0;0;0;0;0;26;12
"ASV_969_Thalassiosira_rotula";53;0;0;6;6;0;4;1;10;1;3;9;0;1;0;0;0;0;0;0;0;0;0;0;11;0;0;26;0;0;0;0;0;0;0;0;0;15;0;0;0
