"";"C1_2017.08";"C1_2018.02";"C1_2018.08";"C2_2017.08";"C2_2018.02";"C2_2018.08";"C3_2017.08";"C3_2018.02";"C3_2018.08";"C4_2017.08";"C4_2018.02";"C4_2018.08";"F1_2017.08";"F1_2018.02";"F1_2018.08";"F2_2017.08";"F2_2018.02";"F2_2018.08";"F3_2017.08";"F3_2018.02";"F3_2018.08";"F4_2017.08";"F4_2018.02";"F4_2018.08";"H1_2017.08";"H1_2018.02";"H1_2018.08";"H2_2017.08";"H2_2018.02";"H2_2018.08";"H3_2017.08";"H3_2018.02";"H3_2018.08";"H4_2017.08";"H4_2018.02";"H4_2018.08";"P1_2018.02";"P1_2018.08";"P2_2018.02";"P3_2018.02";"P4_2018.02"
"ASV_2062_Florenciellales_X_sp.";0;0;0;0;0;0;0;0;5;0;0;4;0;0;0;3;0;2;0;0;0;0;2;0;0;0;6;0;0;0;0;0;0;2;0;0;21;0;0;0;0
"ASV_118_Teleaulax_sp.";0;29;91;0;47;52;0;0;124;0;4;126;48;0;80;49;26;86;24;46;44;11;42;121;28;44;48;18;38;63;92;71;68;103;60;90;65;4;141;107;89
"ASV_1363_Micromonas_pusilla";0;4;2;0;0;0;0;0;0;0;0;0;6;0;4;1;0;2;1;0;3;0;3;4;1;4;0;1;4;0;4;2;0;5;4;2;6;0;14;6;7
"ASV_192_Chloroparvula_pacifica";0;48;57;0;14;92;0;0;22;0;17;24;0;18;98;0;38;25;0;29;118;0;31;45;0;30;13;0;22;9;0;7;19;0;32;72;116;11;84;42;91
"ASV_725_Chrysophyceae_Clade-H_X_sp.";13;18;0;0;0;0;0;0;17;0;0;22;9;0;0;0;0;16;0;31;0;0;15;14;0;0;0;0;0;0;0;0;0;0;0;1;0;81;0;0;0
"ASV_167_Katablepharidales_XX_sp.";0;171;28;0;72;12;0;0;66;0;0;40;0;70;14;0;35;31;0;129;0;0;141;12;0;98;0;0;57;23;0;38;39;0;0;0;60;0;108;34;97
"ASV_94_Pycnococcaceae_X_sp.";0;453;0;0;191;0;45;107;0;0;149;0;0;71;128;208;89;61;110;82;142;106;51;73;47;0;0;31;0;27;71;42;0;44;50;0;0;83;59;32;31
"ASV_71_Chaetoceros_debilis";0;90;0;0;1075;0;0;242;0;0;427;0;0;834;0;0;616;0;0;59;0;0;83;0;0;0;0;0;74;0;0;13;0;0;0;0;0;0;9;0;0
"ASV_2520_Rhizosolenia_delicatula";0;0;0;0;2;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;5;0;0;0
"ASV_40_Pelagomonas_calceolata";0;26;775;0;16;354;0;5;578;0;0;874;71;26;51;85;61;149;0;46;16;0;74;106;64;31;190;46;0;230;88;24;144;222;30;388;264;10;226;170;180
