,Ostreococcus_lucimarinus,Bathycoccus_prasinos,Micromonas_bravo_B1,Rhizosolenia_delicatula,Micromonas_commoda_A2,Chloroparvula_pacifica,Picochlorum_sp.,Plagioselmis_prolonga,Phaeocystis_globosa,Pelagomonas_calceolata,Pycnococcaceae_X_sp.,Teleaulax_gracilis,Chaetoceros_debilis,Minutocellus_polymorphus,Pelagomonadales_clade_B1_sp.,Teleaulax_sp.,Detonula_pumila,Thalassiosira_tenera,Chaetoceros_tenuissimus,Aureococcus_anophagefferens,Katablepharidales_XX_sp.,Chloropicon_laureae,Guinardia_delicatula,Crustomastigaceae_X_sp.,Chrysophyceae_Clade-H_X_sp.,Chrysochromulina_sp.,Paraphysomonas_imperforata,Leucocryptos_marina,Chlorodendrales_XX_sp.,Cylindrotheca_closterium,Haptolina_sp.,Parmales_env_3B_sp.,Pelagomonadaceae_clade_D1_sp.,Hemiselmis_sp.:nucl,Parmales_env_3A_sp.,Chloropicon_sieburthii,Florenciella_parvula,Pelagomonadaceae_clade_C_sp.,Micromonas_pusilla,Triparma_pacifica,Minidiscus_variabilis,Thalassiosira_rotula,Micromonas_bravo_B2,Prymnesiophyceae_Clade_D_XX_sp.,Florenciellales_X_sp.,Brockmanniella brockmannii,Chloropicon_roscoffensis,Triparma_laevis_clade,Rhodomonas_sp.,Rhizosolenia_imbricata,Chloroparvula_B3_sp.,Guinardia_solstherfothii
H1_2018.02,22067,1355,1553,13,1211,110,75,328,34,90,89,171,0,0,32,105,0,0,17,52,228,0,6,90,6,58,0,62,0,49,0,0,0,45,0,0,0,0,37,10,0,0,0,0,0,0,0,16,14,2,0,0
H1_2018.08,15874,1516,181,0,728,388,74,469,122,490,30,144,0,0,432,162,0,61,0,209,16,0,0,41,0,7,0,0,0,0,0,0,5,0,28,0,16,0,4,0,5,0,14,28,6,0,0,0,0,0,0,0
H2_2017.08,16550,506,757,0,359,20,82,184,1186,118,31,104,0,0,23,78,30,0,0,10,0,0,0,6,0,81,44,0,0,0,17,0,0,0,0,0,13,6,10,0,14,26,0,0,0,0,0,0,0,0,0,0
H2_2018.02,18877,1103,1281,0,1213,248,91,593,45,96,128,166,74,22,19,164,0,0,0,17,136,0,0,67,15,66,0,49,0,0,0,26,0,43,0,0,48,0,30,0,0,0,0,0,38,0,0,0,15,1,0,0
H2_2018.08,15553,1489,171,0,723,326,75,476,115,555,27,242,0,0,498,218,0,69,0,303,23,29,0,55,0,24,0,0,0,0,0,36,25,0,0,0,0,15,9,0,0,0,12,0,0,0,0,0,0,0,4,0
H3_2017.08,14521,426,663,0,399,34,95,494,344,231,97,248,0,10,34,270,0,0,0,22,0,0,0,0,0,71,51,0,0,0,0,0,6,0,0,0,0,17,11,0,0,0,0,0,0,9,0,0,0,0,0,0
H3_2018.02,21183,1513,2017,0,1836,219,104,400,24,94,182,144,13,250,20,262,0,0,0,40,109,0,0,56,28,137,0,34,0,0,58,0,0,45,0,0,21,0,13,82,0,0,17,0,18,10,0,13,13,0,0,0
H3_2018.08,15920,1207,164,16,639,542,89,629,96,414,50,164,0,14,321,208,0,64,0,180,39,23,4,43,0,27,0,0,0,0,0,0,29,0,0,25,0,7,0,0,7,0,10,11,0,21,0,0,0,0,0,0
H4_2017.08,15191,363,881,0,618,61,104,554,451,538,159,338,0,0,76,369,18,0,0,38,0,27,0,12,0,90,0,0,0,0,0,33,18,0,11,15,13,13,21,0,0,0,0,0,2,0,0,0,0,0,0,0
H4_2018.02,21734,1335,2127,0,1597,180,157,333,30,78,206,105,0,249,29,195,0,0,0,63,61,0,0,73,35,100,0,22,0,0,18,0,0,43,0,0,0,0,28,0,0,0,0,0,0,14,0,0,13,0,0,2
H4_2018.08,14895,2494,254,13,1065,2518,276,687,272,1047,46,350,0,0,1027,375,0,0,0,730,8,28,0,95,16,61,0,0,0,0,0,35,19,0,19,0,0,11,12,0,9,0,26,18,0,0,6,0,0,0,1,0
P1_2018.02,11080,1981,1255,0,1058,1628,1639,376,57,717,89,233,0,901,128,207,0,0,0,122,135,9,0,64,0,12,0,54,0,36,0,0,0,33,0,0,9,27,56,0,0,0,33,0,21,10,0,0,16,0,0,0
P1_2018.08,990,85,26,9,86,253,978,135,140,28,332,105,0,36,44,34,1913,1114,0,27,0,40,483,0,265,9,40,0,81,0,0,32,10,0,54,16,4,0,0,0,3,15,0,0,6,19,4,0,0,1,3,0
P2_2018.02,10336,2126,1380,0,989,1123,1550,734,67,668,232,254,9,782,127,506,0,0,0,176,255,0,0,91,20,132,0,52,0,50,27,0,0,56,0,0,0,0,65,0,0,0,54,0,14,15,8,0,11,0,0,0
P3_2018.02,7683,1294,1041,0,686,466,501,829,28,468,145,216,0,1271,82,386,0,0,0,104,91,0,0,83,4,63,0,33,0,55,0,0,0,26,0,0,15,0,56,0,0,0,43,10,5,7,0,0,1,0,0,2
P4_2018.02,9837,1928,1493,0,1022,971,820,329,29,509,144,143,0,1068,93,331,0,0,12,125,227,0,0,82,5,24,0,56,0,0,0,0,0,12,0,0,21,0,52,3,0,0,52,0,12,12,0,15,0,0,0,0
