"";"Ostreococcus_lucimarinus";"Bathycoccus_prasinos";"Micromonas_bravo_B1";"Rhizosolenia_delicatula";"Micromonas_commoda_A2";"Chloroparvula_pacifica";"Picochlorum_sp.";"Plagioselmis_prolonga";"Phaeocystis_globosa";"Pelagomonas_calceolata";"Pycnococcaceae_X_sp.";"Teleaulax_gracilis";"Chaetoceros_debilis";"Minutocellus_polymorphus";"Pelagomonadales_clade_B1_sp.";"Teleaulax_sp.";"Detonula_pumila";"Thalassiosira_tenera";"Chaetoceros_tenuissimus";"Aureococcus_anophagefferens";"Katablepharidales_XX_sp.";"Chloropicon_laureae";"Guinardia_delicatula";"Crustomastigaceae_X_sp.";"Chrysophyceae_Clade-H_X_sp.";"Chrysochromulina_sp.";"Paraphysomonas_imperforata";"Leucocryptos_marina";"Chlorodendrales_XX_sp.";"Cylindrotheca_closterium";"Haptolina_sp.";"Parmales_env_3B_sp.";"Pelagomonadaceae_clade_D1_sp.";"Hemiselmis_sp.:nucl";"Parmales_env_3A_sp.";"Chloropicon_sieburthii";"Florenciella_parvula";"Pelagomonadaceae_clade_C_sp.";"Micromonas_pusilla";"Triparma_pacifica";"Minidiscus_variabilis";"Thalassiosira_rotula";"Micromonas_bravo_B2";"Prymnesiophyceae_Clade_D_XX_sp.";"Florenciellales_X_sp.";"Brockmanniella brockmannii";"Chloropicon_roscoffensis";"Triparma_laevis_clade";"Rhodomonas_sp.";"Rhizosolenia_imbricata";"Chloroparvula_B3_sp.";"Guinardia_solstherfothii"
"H2_2018.04";0,738088458618071;0,070662490508732;0,00811503416856492;0;0,0343109339407745;0,0154707668944571;0,00355922551252847;0,022589217919514;0,00545747911921033;0,0263382687927107;0,00128132118451025;0,0114844343204252;0;0;0,0236332574031891;0,0103454821564161;0;0,0032744874715262;0;0,014379271070615;0,00109149582384207;0,00137623386484434;0;0,00261009870918755;0;0,00113895216400911;0;0;0;0;0;0,00170842824601367;0,00118640850417616;0;0;0;0;0,000711845102505695;0,000427107061503417;0;0;0;0,000569476082004556;0;0;0;0;0;0;0;0,000189825360668185;0
"H3_2017.04";0,804353847006038;0,0235971860632582;0,0367251980280286;0;0,0221015897634742;0,00188334348861685;0,00526228327701767;0,0273638730404919;0,0190550047083587;0,0127956572314851;0,00537306818811278;0,0137373289757935;0;0,000553924555475544;0,00188334348861685;0,0149559629978397;0;0;0;0,0012186340220462;0;0;0;0;0;0,00393286434387636;0,00282501523292528;0;0;0;0;0;0,000332354733285327;0;0;0;0;0,000941671744308425;0,000609317011023099;0;0;0;0;0;0;0,00049853209992799;0;0;0;0;0;0
"H3_2018.02";0,731583491624935;0,0522534968053877;0,0696598169573476;0;0,0634087376964255;0,00756346054222069;0,00359178034881713;0,0138145398031428;0,000828872388188568;0,00324641685373856;0,00628561561042998;0,00497323432913141;0,000448972543602141;0,00863408737696426;0,00069072699015714;0,00904852357105854;0;0;0;0,00138145398031428;0,00376446209635642;0;0;0,00193403557243999;0,000967017786219997;0,00473147988257641;0;0,00117423588326714;0;0;0,00200310827145571;0;0;0,00155413572785357;0;0;0,000725263339664997;0;0,000448972543602141;0,00283198065964428;0;0;0,000587117941633569;0;0,000621654291141426;0,00034536349507857;0;0,000448972543602141;0,000448972543602141;0;0;0
"H3_2018.04";0,759433287220341;0,0575776367886276;0,00782330773267185;0,000763249534894815;0,0304822782998617;0,0258550779945618;0,00424557553785241;0,0300052473405524;0,00457949720936889;0,0197490817154033;0,0023851547965463;0,00782330773267185;0;0,000667843343032963;0,0153126937938272;0,00992224395363259;0;0,00305299813957926;0;0,00858655726756666;0,00186042074130611;0,0010971712064113;0,000190812383723704;0,00205123312502981;0;0,001287983590135;0;0;0;0;0;0;0,00138338978199685;0;0;0,00119257739827315;0;0,000333921671516481;0;0;0,000333921671516481;0;0,000477030959309259;0,000524734055240185;0;0,00100176501454944;0;0;0;0;0;0
"H4_2017.04";0,759018686919157;0,0181373038872789;0,0440191865694014;0;0,0308783851304087;0,00304786649345458;0,00519636254621765;0,0276806235635055;0,0225342260417708;0,0268811831717798;0,00794443889277506;0,0168881782752074;0;0;0,00379734186069751;0,0184370940341761;0,000899370440691516;0;0;0,00189867093034876;0;0,00134905566103727;0;0,000599580293794344;0;0,00449685220345758;0;0;0;0;0;0,00164884580793445;0,000899370440691516;0;0,000549615269311482;0,00074947536724293;0,000649545318277206;0,000649545318277206;0,0010492655141401;0;0;0;0;0;9,9930048965724e-05;0;0;0;0;0;0;0
"H4_2018.02";0,753945953446422;0,0463107503382246;0,0737849932355084;0;0,0553994519027301;0,00624414611301904;0,00544628299857772;0,0115516703090852;0,00104069101883651;0,00270579664897492;0,00714607832934402;0,00364241856592778;0;0,00863773545634301;0,00100600131820862;0,0067644916224373;0;0;0;0,00218545113955667;0,0021160717383009;0;0;0,0025323481458355;0,00121413952197593;0,00346897006278836;0;0,000763173413813439;0;0;0,000624414611301904;0;0;0,00149165712699899;0;0;0;0;0,00097131161758074;0;0;0;0;0;0;0,00048565580879037;0;0;0,000450966108162487;0;0;6,93794012557672e-05
"H4_2018.04";0,563926854200583;0,0944232006966267;0,00961647673494113;0,000492181880134782;0,0403210540264264;0,0953318441676447;0,0104493999167077;0,0260099193578919;0,0102979593382047;0,0396395714231628;0,00174156665278461;0,0132510506190134;0;0;0,0388823685306478;0,0141975542346572;0;0;0;0,0276379055767993;0,00030288115700602;0,00106008404952107;0;0,00359671373944648;0,000605762314012039;0,0023094688221709;0;0;0;0;0;0,00132510506190134;0,000719342747889297;0;0,000719342747889297;0;0;0,000416461590883277;0,00045432173550903;0;0,000340741301631772;0;0,000984363760269564;0,000681482603263544;0;0;0,000227160867754515;0;0;0;3,78601446257525e-05;0
"P1_2018.02";0,503957063585918;0,0901027926862549;0,057081779314109;0;0,0481215318839261;0,0740471208951151;0,0745474392795415;0,017101792049486;0,00259255890111889;0,0326116619667061;0,00404803056490494;0,0105976530519421;0;0,0409806240334758;0,00582188665514418;0,00941508232511598;0;0;0;0,0055489857181843;0,00614027108159738;0,000409351405439825;0;0,00291094332757209;0;0,000545801873919767;0;0,00245610843263895;0;0,0016374056217593;0;0;0;0,00150095515327936;0;0;0,000409351405439825;0,00122805421631948;0,00254707541162558;0;0;0;0,00150095515327936;0;0,000955153279359592;0,000454834894933139;0;0;0,000727735831893023;0;0;0
"P1_2018.04";0,133423180592992;0,011455525606469;0,00350404312668464;0,00121293800539084;0,0115902964959569;0,0340970350404313;0,131805929919137;0,0181940700808625;0,0188679245283019;0,00377358490566038;0,044743935309973;0,0141509433962264;0;0,00485175202156334;0,00592991913746631;0,0045822102425876;0,257816711590297;0,150134770889488;0;0,00363881401617251;0;0,00539083557951483;0,0650943396226415;0;0,0357142857142857;0,00121293800539084;0,00539083557951483;0;0,0109164420485175;0;0;0,00431266846361186;0,00134770889487871;0;0,00727762803234501;0,00215633423180593;0,000539083557951483;0;0;0;0,000404312668463612;0,00202156334231806;0;0;0,000808625336927224;0,00256064690026954;0,000539083557951483;0;0;0,000134770889487871;0,000404312668463612;0
"P2_2018.02";0,471769592404948;0,0970377470445935;0,0629878132274408;0;0,0451412661463326;0,0512574740974029;0,0707471815235748;0,0335022137021315;0,00305810397553517;0,0304897530695148;0,010589255557077;0,0115934091012826;0,000410790086265918;0,0356930941622164;0,00579670455064129;0,0230955315167283;0;0;0;0,00803322835364462;0,011639052444201;0;0;0,00415354420557762;0,000912866858368707;0,00602492126523347;0;0,00237345383175864;0;0,00228216714592177;0,00123237025879775;0;0;0,00255602720343238;0;0;0;0;0,0029668172896983;0;0;0;0,00246474051759551;0;0,000639006800858095;0,00068465014377653;0,000365146743347483;0;0,000502076772102789;0;0;0
"P3_2018.02";0,489550146552823;0,0824518924429718;0,0663310819421435;0;0,0437109723461195;0,0296928762584427;0,0319230279087549;0,0528227348031095;0,00178412132024978;0,0298203134956034;0,00923919969415063;0,0137632216133554;0;0,0809863642156238;0,00522492672358863;0,0245953867720148;0;0;0;0,00662673633235631;0,00579839429081177;0;0;0,00528864534216898;0,000254874474321397;0,004014272970562;0;0,00210271441315152;0;0,0035045240219192;0;0;0;0,00165668408308908;0;0;0,000955779278705238;0;0,00356824264049955;0;0;0;0,00273990059895501;0,000637186185803492;0,000318593092901746;0,000446030330062444;0;0;6,37186185803492e-05;0;0;0,000127437237160698
"P4_2018.02";0,506357131826839;0,0992433211509754;0,0768518041900448;0;0,0526071961702785;0,049981983836928;0,0422092963401452;0,0169351932876924;0,00149276779739538;0,0262006485818706;0,00741236423534256;0,00736088948370824;0;0,0549750347454574;0,00478715190199207;0,017038142790961;0;0;0,00061769701961188;0,00643434395429042;0,0116847686209914;0;0;0,00422092963401452;0,000257373758171617;0,00123539403922376;0;0,00288258609152211;0;0;0;0;0;0,00061769701961188;0;0;0,00108096978432079;0;0,00267668708498481;0,00015442425490297;0;0;0,00267668708498481;0;0,00061769701961188;0,00061769701961188;0;0,00077212127451485;0;0;0;0
