"";"Chlorophyta";"Ochrophyta";"Cryptophyta";"Haptophyta";"Katablepharidophyta";"Rhodophyta"
"C1_2017.04";644;1900;0;4814;0;0
"C1_2018.02";10112;1587;414;397;454;0
"C1_2018.04";14481;3873;1195;409;68;0
"C2_2017.04";95;178;8;81;0;0
"C2_2018.02";2431;5183;517;279;121;0
"C2_2018.04";11547;2238;652;118;32;0
"C3_2017.04";410;4055;0;34;0;0
"C3_2018.02";783;13921;115;532;13;0
"C3_2018.04";5003;5524;984;546;69;0
"C4_2017.04";133;302;0;47;0;0
"C4_2018.02";1599;11197;302;654;17;0
"C4_2018.04";6406;6834;1139;575;65;0
"F1_2017.04";3249;708;3020;821;0;0
"F1_2018.02";1173;7296;168;141;141;0
"F1_2018.04";12885;871;1236;64;39;0
"F2_2017.04";4997;522;1129;639;0;0
"F2_2018.02";2442;4457;282;120;215;0
"F2_2018.04";17354;1704;955;72;75;0
"F3_2017.04";2411;115;255;190;0;0
"F3_2018.02";3275;1708;1114;225;536;0
"F3_2018.04";11294;512;453;28;31;0
"F4_2017.04";1418;92;260;155;0;0
"F4_2018.02";3269;1705;1014;165;469;0
"F4_2018.04";11632;1316;1919;77;67;0
"H1_2017.04";17869;396;408;1841;0;243
"H1_2018.02";26893;426;668;98;304;106
"H1_2018.04";18961;1349;775;162;16;97
"H2_2017.04";18375;450;366;1334;0;0
"H2_2018.02";23636;583;1063;134;199;10
"H2_2018.04";18545;1544;936;160;24;54
"H3_2017.04";16551;422;1012;464;0;30
"H3_2018.02";27603;871;888;259;155;0
"H3_2018.04";18805;1101;1001;154;39;37
"H4_2017.04";18897;841;1261;597;0;25
"H4_2018.02";27862;775;744;151;105;1
"H4_2018.04";21899;3104;1421;352;8;45
"P1_2018.02";19202;2520;964;111;274;8
"P1_2018.04";3137;9255;274;248;0;788
"P2_2018.02";19038;2423;1654;243;377;0
"P3_2018.02";20826;2643;1555;181;163;0
"P4_2018.02";16930;2534;871;123;358;0
