"";"Mamiellophyceae";"Basidiomycota";"Syndiniales";"Bacillariophyta";"Arthropoda";"Chloropicophyceae";"Trebouxiophyceae";"Cryptophyceae";"Dinophyceae";"Prymnesiophyceae";"Ascomycota";"Pelagophyceae";"Spirotrichea";"Chlorodendrophyceae";"Pyramimonadophyceae";"Annelida";"MAST-7";"Picozoa_X";"CONThreeP";"NA";"MAST-4";"Ulvophyceae";"Katablepharidaceae";"Prasinodermophyceae";"MAST-3";"Labyrinthulomycetes";"MAST-2";"Ctenophora";"Chrysophyceae";"Telonemia_X";"Cryptomycota";"Porifera";"MAST-1";"Oligohymenophorea";"Bolidophyceae";"Filosa-Thecofilosea";"Pirsonia_Clade";"Bicoecea";"Cryptophyceae:nucl";"Centroheliozoa_X";"Nemertea";"Embryophyceae";"Cnidaria";"Mollusca";"Dictyochophyceae";"Bryozoa";"Litostomatea";"Variosea";"MAST-9";"Urochordata";"MOCH-3";"MAST-8";"MAST-12";"Rotifera";"MAST-11";"Chlorarachniophyceae";"Choanoflagellatea";"Florideophyceae";"Phyllopharyngea";"Chytridiomycota";"CONTH_8";"MAST-10";"Stramenopiles_XX";"Filosa-Imbricatea";"RAD-B";"Echinodermata";"Ellobiopsidae";"Platyhelminthes";"MAST-6";"Craniata";"Ellobiophyceae";"MOCH-2";"MOCH-1";"Haptophyta_Clade_HAP3";"Ichthyosporea";"RAD-A";"Oomycota";"Apicomplexa_X";"Nassophorea";"Prasino-Clade-9";"Perkinsida";"Stramenopiles_X-Group-2";"Colpodellidea";"Planomonadida";"Apusomonadidae_Group-2";"MOCH-5";"Haptophyta_Clade_HAP5";"MAST-25";"Chlorophyceae";"Nematoda";"Polycystinea";"Tubulinea";"MOCH-4";"Entoprocta";"Prasino-Clade-VIII";"Apusomonadidae_Group-1";"Endomyxa";"Filosa-Granofilosea";"Haptophyta_Clade_HAP4";"Monothalamids"
"F4_2018.02";2958;2676;15443;1739;935;137;0;1092;4502;331;9;268;429;0;222;1312;1724;713;25;0;1211;0;509;39;429;763;31;0;1160;48;0;447;191;20;178;235;0;329;44;20;4;0;28;21;18;78;0;0;0;100;0;65;127;0;58;85;148;20;6;231;0;13;5;96;0;0;0;0;0;12;4;0;0;5;9;27;0;2;36;0;0;20;0;21;12;0;5;0;0;0;0;0;0;13;0;0;0;0;0;0
"F4_2018.04";9366;3331;15294;284;580;1515;746;2231;1956;230;67;631;1839;5;406;5;205;248;117;0;591;0;83;121;137;89;21;0;747;98;0;60;87;9;71;22;0;12;0;25;0;0;1;0;118;0;0;0;11;0;0;12;15;13;15;20;44;0;18;0;0;10;0;11;16;0;0;0;0;3;0;11;16;33;0;0;0;7;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"H1_2017.04";16321;3974;8133;202;120;110;214;501;1945;2262;142;183;557;1065;947;114;640;807;115;0;266;100;0;93;63;46;82;0;102;80;899;46;52;0;104;104;0;0;0;6;0;0;211;56;56;10;0;0;38;3;20;21;64;4;0;20;3;411;23;121;0;0;0;0;0;71;0;0;0;26;2;27;45;0;15;21;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0
"H1_2018.02";26525;2009;3843;334;37;110;75;623;1934;265;0;182;1493;38;104;904;643;246;40;0;156;75;307;31;12;34;19;0;196;74;0;429;52;95;62;36;0;61;45;0;0;11;12;46;67;46;4;0;6;0;0;25;52;0;29;68;0;128;17;0;0;19;0;2;0;0;0;0;5;0;0;0;12;0;5;0;10;0;3;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"H1_2018.04";18751;281;7808;137;2517;423;74;889;2610;425;0;1156;1977;0;55;440;393;352;47;0;753;46;18;31;102;92;25;45;172;72;0;177;95;30;102;37;0;3;0;6;0;0;476;34;83;19;26;43;0;89;72;35;9;0;6;11;22;114;16;26;0;20;0;38;128;0;57;0;0;9;61;0;11;22;0;9;0;0;18;0;0;0;0;0;0;0;0;5;0;0;15;0;0;0;0;0;0;0;0;0
"H2_2017.04";18367;3514;10058;70;45;27;82;445;1277;1588;46;157;558;0;481;50;706;873;18;0;284;888;0;14;84;44;55;0;94;79;472;0;66;12;179;91;12;293;0;0;57;0;21;9;48;0;42;0;51;0;27;14;82;0;0;16;0;11;43;58;0;0;0;0;0;14;0;0;0;53;0;0;29;0;0;17;0;0;0;0;53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"H2_2018.02";22780;866;4412;262;23;248;91;999;4477;289;0;139;2818;378;199;92;1004;188;195;0;236;14;199;22;36;33;21;0;235;89;0;181;128;127;75;28;0;29;120;0;0;5;9;50;117;26;79;0;11;6;0;57;54;0;43;61;37;10;4;0;0;20;0;0;0;0;0;0;8;0;0;0;0;0;8;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"H2_2018.04";18288;103;8346;170;1660;380;75;1054;3757;408;0;1432;1208;0;56;456;379;333;30;0;591;39;24;51;109;69;34;0;209;86;0;207;94;48;65;51;0;10;0;5;0;0;570;43;56;72;8;0;12;67;64;33;7;0;0;1;77;129;22;53;0;17;0;39;69;14;43;0;0;11;39;0;0;8;0;12;0;0;19;0;0;0;0;0;0;0;0;7;11;0;0;0;0;0;0;0;0;0;0;0
"H3_2017.04";16204;11443;4101;37;0;60;95;1137;833;793;215;323;475;13;116;904;731;697;8;0;361;1096;0;31;183;45;15;0;104;125;12;99;245;16;10;38;0;6;0;3;49;42;132;249;63;0;0;0;89;15;25;15;21;0;0;16;32;78;21;0;0;0;0;0;0;102;0;0;0;71;20;22;41;0;7;0;13;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"H3_2018.02";27353;1442;2341;493;51;228;104;843;2594;369;7;161;1748;191;253;28;832;156;126;0;216;0;160;39;11;32;13;0;204;110;0;32;65;85;112;44;0;39;45;0;0;679;4;0;80;0;0;0;44;10;43;26;44;0;37;58;9;0;0;0;0;15;7;10;0;0;0;0;4;0;0;0;14;0;34;0;0;0;0;0;0;0;0;7;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"H3_2018.04";18076;780;7562;174;3768;590;89;1148;2336;282;0;980;2510;0;77;136;234;292;44;0;578;13;44;64;59;63;22;73;227;71;0;75;96;6;29;21;0;0;0;9;63;0;419;0;62;14;42;4;10;41;44;33;0;3;0;2;41;48;28;39;0;15;0;13;31;0;36;0;0;11;33;0;0;8;0;0;0;24;13;0;0;0;0;0;0;0;0;0;4;0;0;0;7;0;0;0;0;0;10;0
"H4_2017.04";17262;4915;3494;171;26;103;104;1428;1232;1097;57;703;332;0;174;299;544;879;0;0;252;5447;7;49;146;53;17;0;89;123;3;84;155;0;66;36;0;22;0;0;905;0;132;82;81;0;0;42;57;0;40;23;32;0;0;21;11;93;113;0;0;0;0;0;0;149;6;0;0;26;6;48;44;7;9;0;12;0;9;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"H4_2018.02";27309;1169;2737;463;53;180;157;701;3171;272;0;174;1844;164;228;30;1280;184;83;0;224;10;107;56;0;10;30;0;340;124;0;27;26;11;112;0;0;23;43;0;0;0;0;5;69;12;5;0;28;17;0;35;41;0;24;23;5;1;0;0;0;23;0;0;0;0;0;0;11;0;0;0;9;0;16;0;0;0;0;0;0;0;0;19;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"H4_2018.04";19022;164;6405;161;372;2732;276;1543;1242;604;0;2914;2628;0;121;21;378;207;97;0;822;0;8;84;106;87;23;0;273;198;0;46;141;0;122;14;0;0;0;7;0;0;141;0;86;2;0;0;34;10;31;69;13;0;5;20;124;45;33;28;0;17;0;0;0;0;8;0;0;5;0;47;14;13;0;13;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
"P1_2018.02";15791;4731;4186;1417;10;1672;1639;907;2233;111;0;994;5048;11;89;111;50;62;1301;0;212;0;274;32;17;42;23;0;98;44;0;81;29;41;36;0;0;0;57;0;0;0;9;0;43;28;54;0;0;0;0;12;17;0;50;30;17;8;22;0;36;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P1_2018.04";1265;6823;2738;10762;993;334;978;274;5210;283;19;162;1093;119;377;1227;612;308;53;0;112;64;29;268;152;674;33;5;706;77;147;299;74;44;204;288;65;128;0;0;39;0;520;521;10;0;65;0;6;7;16;11;66;0;0;0;236;2044;567;0;0;0;0;0;0;87;0;0;0;158;0;0;0;0;21;0;175;30;17;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0
"P2_2018.02";15489;2437;6059;1268;103;1151;1550;1601;3158;253;0;971;2960;590;258;0;123;167;1408;0;295;0;377;44;68;50;78;0;210;130;0;0;74;166;38;9;0;72;69;0;0;35;0;0;46;0;16;0;0;0;28;21;56;0;64;65;61;0;4;0;11;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P3_2018.02";11154;1327;4764;1963;15;466;501;1561;2498;208;0;654;4358;8608;145;0;83;150;1364;0;218;0;163;44;45;36;134;0;80;119;0;8;37;37;12;9;0;319;74;0;0;0;0;0;39;0;138;0;0;0;0;35;32;0;79;30;47;0;3;0;90;12;3;11;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P4_2018.02";14789;2149;6788;1757;13;991;820;871;3096;132;0;727;4635;186;144;0;139;149;2619;0;346;0;358;65;20;50;69;0;121;82;0;5;41;0;18;14;0;0;47;0;0;0;0;0;57;0;54;0;0;0;0;39;76;0;56;24;48;0;16;0;56;16;4;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
