"";"nChl";"hChl";"nOch";"hOch";"nCryp";"nHap";"hHap";"nKata";"nRho";"fRho"
"F3_2018.04";0,9133418809865;0;0,0409533147296176;0;0,0381627573723509;0,00520401236895693;0;0,00233803454257485;0;0
"F4_2017.04";0,691707317073171;0;0,0375609756097561;0;0,195121951219512;0,075609756097561;0;0;0;0
"F4_2018.02";0,455682133926091;0;0,284801333703807;0;0,154070575159767;0,0398721867185329;0;0,0655737704918033;0;0
"F4_2018.04";0,750188442211055;0;0,0925879396984925;0;0,140138190954774;0,012248743718593;0;0,00483668341708543;0;0
"H1_2017.04";0,804940449933833;0,0224525805028672;0,0248345831495368;0,00776356418173798;0,0220996912218791;0,0944861049845611;0,00529333921482135;0;0,0107190119100132;0,00741067490074989
"H1_2018.02";0,923047893508989;0,000754768766296144;0,0252161383285303;0,00404830520104295;0,0229175243584465;0,00909153286674901;0;0,0105324550569507;0,0036366131466996;0,000754768766296144
"H1_2018.04";0,844878048780488;0,0131707317073171;0,0753880266075388;0,00146341463414634;0,0394235033259423;0,0161419068736142;0,00368070953436807;0,000798226164079823;0,00430155210643016;0,000753880266075388
"H2_2017.04";0,838305250522385;0,0439692348730716;0,0256524251989508;0,00120037344951763;0,0197839327790868;0,0691770773129418;0,00142266482905793;0;0;0,000489041034988663
"H2_2018.02";0,905486522653412;0,00103230739820302;0,0286752055056395;0,0029822213725865;0,0427834066144141;0,0110495125215064;0;0,00760848786082967;0,000382336073408526;0
"H2_2018.04";0,827532490653374;0,0113939825529642;0,0797578778707495;0,00907957984689336;0,0469111625422824;0,0151771408225031;0,00333808082606373;0,0010681858643404;0,00240341819476589;0,00333808082606373
"H3_2017.04";0,833704308255429;0,0360587624276599;0,0288371172775387;0,00207745956373349;0,0562397981896424;0,0364544690112282;0,00276994608497799;0;0,00148389968838107;0,0023742395014097
"H3_2018.02";0,90320686392849;0,0144520927804783;0,0331778292499918;0,00293609108407007;0,0289694320294914;0,0102436955599778;0,00179427788470949;0,00521971748279124;0;0
"H3_2018.04";0,859072654253377;0,00114092734574662;0,0659456005841548;0,00355969331872946;0,0523913837166849;0,0120938298649142;0,00159729828404527;0,00200803212851406;0,001688572471705;0,000502008032128514
"H4_2017.04";0,739125663069325;0,119151271263947;0,0385586244741174;0,00687762941284068;0,0522407170294494;0,0307664166819096;0,00962136455094202;0,000256081946222791;0,000914578379367112;0,00248765319187854
"H4_2018.02";0,920135798806816;0,00435083555819243;0,0374105936253667;0,00105474801410725;0,0245228913279937;0,00794357098124526;0,0010217871386664;0,00352681367217113;3,29608754408517e-05;0
"H4_2018.04";0,789391018776326;0,00139216106232598;0,128542871421432;0,00167773256229028;0,0550796030556151;0,0204897551224388;0,00153494681230813;0,000285571499964304;0,00160633968729921;0
"P1_2018.02";0,837133123689727;0;0,106044723969252;0;0,0410552061495458;0,00345038434661076;0;0,0119671558350804;0,000349406009783368;0
"P1_2018.04";0,354609929078014;0;0,495538778311599;0;0,0313429421185083;0,0283687943262411;0;0;0,0901395561656372;0
"P2_2018.02";0,806582965727859;0;0,0975144214455378;0;0,0696046827281982;0,0103070919579233;0;0,0159908381404818;0;0
"P3_2018.02";0,824328606511923;0;0,103343103858037;0;0,0615939158678603;0,00435712588132774;0;0,00637724788085241;0;0
"P4_2018.02";0,819998060323926;0;0,117059451071671;0;0,0422364465134323;0,00334594122781496;0;0,0173601008631559;0;0
